# Pixel positions of the trace in the spatial direction, Width of the trace
5.423533494937369142e+02,3.456978168189714928e+00
5.423489536668035953e+02,3.456978168189714928e+00
5.423445584847004284e+02,3.456978168189714928e+00
5.423401639507706022e+02,3.456978168189714928e+00
5.423357700683568510e+02,3.456978168189714928e+00
5.423313768408021360e+02,3.456978168189714928e+00
5.423269842714495326e+02,3.456978168189714928e+00
5.423225923636417747e+02,3.456978168189714928e+00
5.423182011207219375e+02,3.456978168189714928e+00
5.423138105460329825e+02,3.456978168189714928e+00
5.423094206429177575e+02,3.456978168189714928e+00
5.423050314147193376e+02,3.456978168189714928e+00
5.423006428647804569e+02,3.456978168189714928e+00
5.422962549964443042e+02,3.456978168189714928e+00
5.422918678130536136e+02,3.456978168189714928e+00
5.422874813179513467e+02,3.456978168189714928e+00
5.422830955144805785e+02,3.456978168189714928e+00
5.422787104059841568e+02,3.456978168189714928e+00
5.422743259958050430e+02,3.456978168189714928e+00
5.422699422872861987e+02,3.456978168189714928e+00
5.422655592837704717e+02,3.456978168189714928e+00
5.422611769886009370e+02,3.456978168189714928e+00
5.422567954051204424e+02,3.456978168189714928e+00
5.422524145366719495e+02,3.456978168189714928e+00
5.422480343865984196e+02,3.456978168189714928e+00
5.422436549582428142e+02,3.456978168189714928e+00
5.422392762549479812e+02,3.456978168189714928e+00
5.422348982800568820e+02,3.456978168189714928e+00
5.422305210369125916e+02,3.456978168189714928e+00
5.422261445288578443e+02,3.456978168189714928e+00
5.422217687592358288e+02,3.456978168189714928e+00
5.422173937313892793e+02,3.456978168189714928e+00
5.422130194486611572e+02,3.456978168189714928e+00
5.422086459143945376e+02,3.456978168189714928e+00
5.422042731319322684e+02,3.456978168189714928e+00
5.421999011046171972e+02,3.456978168189714928e+00
5.421955298357923994e+02,3.456978168189714928e+00
5.421911593288008362e+02,3.456978168189714928e+00
5.421867895869853555e+02,3.456978168189714928e+00
5.421824206136890325e+02,3.456978168189714928e+00
5.421780524122546012e+02,3.456978168189714928e+00
5.421736849860251368e+02,3.456978168189714928e+00
5.421693183383436008e+02,3.456978168189714928e+00
5.421649524725528408e+02,3.456978168189714928e+00
5.421605873919958185e+02,3.456978168189714928e+00
5.421562231000156089e+02,3.456978168189714928e+00
5.421518595999549461e+02,3.456978168189714928e+00
5.421474968951569053e+02,3.456978168189714928e+00
5.421431349889643343e+02,3.456978168189714928e+00
5.421387738847203082e+02,3.456978168189714928e+00
5.421344135857676747e+02,3.456978168189714928e+00
5.421300540954493954e+02,3.456978168189714928e+00
5.421256954171084317e+02,3.456978168189714928e+00
5.421213375540877450e+02,3.456978168189714928e+00
5.421169805097300696e+02,3.456978168189714928e+00
5.421126242873787078e+02,3.456978168189714928e+00
5.421082688903762801e+02,3.456978168189714928e+00
5.421039143220658616e+02,3.456978168189714928e+00
5.420995605857904138e+02,3.456978168189714928e+00
5.420952076848927845e+02,3.456978168189714928e+00
5.420908556227160489e+02,3.456978168189714928e+00
5.420865044026029409e+02,3.456978168189714928e+00
5.420821540278966495e+02,3.456978168189714928e+00
5.420778045019400224e+02,3.456978168189714928e+00
5.420734558280759074e+02,3.456978168189714928e+00
5.420691080096473797e+02,3.456978168189714928e+00
5.420647610499972870e+02,3.456978168189714928e+00
5.420604149524685909e+02,3.456978168189714928e+00
5.420560697204041389e+02,3.456978168189714928e+00
5.420517253571471201e+02,3.456978168189714928e+00
5.420473818660402685e+02,3.456978168189714928e+00
5.420430392504266592e+02,3.456978168189714928e+00
5.420386975136490264e+02,3.456978168189714928e+00
5.420343566590505588e+02,3.456978168189714928e+00
5.420300166899739907e+02,3.456978168189714928e+00
5.420256776097623970e+02,3.456978168189714928e+00
5.420213394217587393e+02,3.456978168189714928e+00
5.420170021293058653e+02,3.456978168189714928e+00
